transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00501,2026-01-08T01:58:38Z,20.63,restaurant,DE,False,False
txn_0000001,card_00419,2026-01-19T03:30:48Z,37.93,electronics,GB,False,False
txn_0000002,card_00767,2026-01-09T06:52:33Z,44.67,utilities,GB,True,False
txn_0000003,card_00578,2026-01-01T11:27:14Z,45.78,entertainment,US,True,False
txn_0000004,card_00587,2026-01-28T17:15:56Z,126.96,electronics,GB,False,False
txn_0000005,card_00809,2026-01-08T17:28:01Z,73.09,restaurant,SG,True,False
txn_0000006,card_00110,2026-01-09T10:13:27Z,49.31,restaurant,DE,True,False
txn_0000007,card_00199,2026-01-03T22:08:50Z,43.09,utilities,DE,False,False
txn_0000008,card_00676,2026-01-30T17:53:33Z,177.61,utilities,US,True,False
txn_0000009,card_00838,2026-01-28T21:53:54Z,47.32,travel,SG,True,False
txn_0000010,card_00442,2026-01-24T19:13:34Z,62.13,travel,GB,False,False
txn_0000011,card_00101,2026-01-01T23:46:33Z,50.9,electronics,DE,False,False
txn_0000012,card_00147,2026-01-02T01:35:13Z,51.55,fuel,DE,True,False
txn_0000013,card_00400,2026-01-12T00:35:49Z,135.8,grocery,US,True,False
txn_0000014,card_00168,2026-01-19T22:22:08Z,54.37,online_retail,AE,False,True
txn_0000015,card_00367,2026-01-14T03:34:32Z,126.59,utilities,SG,False,False
txn_0000016,card_00602,2026-01-19T00:45:05Z,587.7,utilities,GB,False,False
txn_0000017,card_00174,2026-01-15T21:58:45Z,29.23,fuel,GB,True,False
txn_0000018,card_00198,2026-01-13T18:17:15Z,1036.4,electronics,DE,True,False
txn_0000019,card_00337,2026-01-22T04:54:24Z,257.36,entertainment,US,False,False
txn_0000020,card_00184,2026-01-27T09:26:23Z,621.7,entertainment,SG,False,False
txn_0000021,card_00900,2026-01-28T16:12:16Z,26.0,online_retail,GB,False,False
txn_0000022,card_00898,2026-01-12T14:36:40Z,75.89,fuel,US,False,False
txn_0000023,card_00620,2026-01-20T07:37:51Z,190.91,travel,US,True,False
txn_0000024,card_00417,2026-01-25T18:13:54Z,131.25,fuel,SG,True,False
txn_0000025,card_00538,2026-01-25T19:43:03Z,79.8,pharmacy,SG,True,False
txn_0000026,card_00285,2026-01-18T09:01:01Z,28.95,entertainment,SG,False,False
txn_0000027,card_00255,2026-01-15T23:41:30Z,32.29,electronics,DE,True,False
txn_0000028,card_00742,2026-01-15T05:00:57Z,28.97,travel,IN,True,False
txn_0000029,card_00075,2026-01-24T12:43:34Z,51.54,restaurant,DE,True,False
txn_0000030,card_00514,2026-01-22T02:08:47Z,49.65,online_retail,GB,False,False
txn_0000031,card_00609,2026-01-19T23:39:04Z,17.38,atm_withdrawal,US,True,False
txn_0000032,card_00491,2026-01-20T05:30:28Z,242.66,utilities,GB,False,False
txn_0000033,card_00123,2026-01-06T05:15:15Z,234.2,atm_withdrawal,SG,False,False
txn_0000034,card_00419,2026-01-29T09:55:58Z,37.97,travel,DE,False,False
txn_0000035,card_00689,2026-01-01T15:30:58Z,84.22,travel,US,True,False
txn_0000036,card_00162,2026-01-10T13:58:56Z,359.55,entertainment,IN,True,False
txn_0000037,card_00442,2026-01-19T04:15:39Z,26.72,restaurant,AE,False,False
txn_0000038,card_00166,2026-01-28T02:21:04Z,70.26,pharmacy,IN,True,False
txn_0000039,card_00376,2026-01-11T09:11:23Z,24.01,online_retail,DE,True,False
txn_0000040,card_00663,2026-01-01T14:52:23Z,69.15,entertainment,SG,False,False
txn_0000041,card_00584,2026-01-29T11:58:36Z,130.32,fuel,DE,False,False
txn_0000042,card_00785,2026-01-11T23:40:03Z,107.5,pharmacy,IN,True,False
txn_0000043,card_00752,2026-01-09T01:37:10Z,58.23,pharmacy,DE,True,False
txn_0000044,card_00210,2026-01-26T02:21:41Z,43.65,entertainment,SG,False,False
txn_0000045,card_00378,2026-01-12T14:44:25Z,139.53,fuel,AE,True,False
txn_0000046,card_00287,2026-01-11T04:06:43Z,239.13,fuel,SG,True,False
txn_0000047,card_00243,2026-01-13T23:56:29Z,89.87,restaurant,US,True,False
txn_0000048,card_00800,2026-01-06T15:02:07Z,50.64,utilities,IN,False,False
txn_0000049,card_00534,2026-01-11T00:38:28Z,48.71,online_retail,US,False,False
txn_0000050,card_00010,2026-01-20T11:44:44Z,259.96,online_retail,IN,True,False
txn_0000051,card_00146,2026-01-27T12:02:01Z,78.67,entertainment,GB,True,False
txn_0000052,card_00686,2026-01-25T15:52:40Z,60.2,pharmacy,AE,True,False
txn_0000053,card_00270,2026-01-08T08:55:47Z,204.39,entertainment,AE,False,False
txn_0000054,card_00515,2026-01-30T19:06:28Z,39.11,fuel,GB,True,False
txn_0000055,card_00589,2026-01-19T22:46:49Z,117.12,travel,AE,False,False
txn_0000056,card_00667,2026-01-19T10:41:18Z,46.78,travel,GB,False,False
txn_0000057,card_00860,2026-01-16T22:22:13Z,36.1,fuel,DE,True,False
txn_0000058,card_00768,2026-01-14T01:57:47Z,73.09,travel,US,False,False
txn_0000059,card_00584,2026-01-18T19:07:22Z,63.27,fuel,GB,True,False
txn_0000060,card_00719,2026-01-14T18:36:57Z,25.42,grocery,GB,True,False
txn_0000061,card_00109,2026-01-18T07:37:49Z,318.88,utilities,GB,False,False
txn_0000062,card_00022,2026-01-20T19:33:45Z,37.95,electronics,SG,True,False
txn_0000063,card_00429,2026-01-13T22:40:21Z,99.22,atm_withdrawal,DE,False,False
txn_0000064,card_00408,2026-01-16T14:39:17Z,77.01,electronics,SG,False,False
txn_0000065,card_00677,2026-01-14T01:13:46Z,18.83,restaurant,IN,True,False
txn_0000066,card_00297,2026-01-17T11:56:19Z,169.61,utilities,GB,False,False
txn_0000067,card_00710,2026-01-30T08:19:50Z,8.41,travel,IN,False,False
txn_0000068,card_00341,2026-01-22T14:46:12Z,48.64,grocery,GB,False,False
txn_0000069,card_00299,2026-01-27T00:09:54Z,93.49,fuel,SG,True,False
