transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00345,2026-01-18T20:30:14Z,online_retail,True,False,dev_000799,GB,7563
txn_0000501,card_00255,2026-01-26T11:34:34Z,grocery,True,False,dev_000938,IN,18662
txn_0000502,card_00557,2026-01-11T10:46:14Z,entertainment,True,False,dev_004315,DE,1046
txn_0000503,card_00525,2026-01-12T05:00:08Z,online_retail,False,False,dev_001227,SG,897
txn_0000504,card_00732,2026-01-08T20:48:07Z,atm_withdrawal,True,False,dev_000917,AE,4690
txn_0000505,card_00481,2026-01-29T23:58:39Z,online_retail,True,False,dev_000093,DE,42073
txn_0000506,card_00832,2026-01-17T04:58:37Z,pharmacy,True,False,dev_000939,GB,3201
txn_0000507,card_00857,2026-01-09T04:03:44Z,restaurant,False,False,dev_003067,IN,3538
txn_0000508,card_00002,2026-01-04T03:32:08Z,atm_withdrawal,True,False,dev_004872,IN,3497
txn_0000509,card_00187,2026-01-22T09:50:18Z,travel,False,False,dev_000543,GB,565
txn_0000510,card_00067,2026-01-05T09:40:14Z,atm_withdrawal,False,False,dev_003603,IN,2735
txn_0000511,card_00340,2026-01-04T20:54:21Z,travel,True,False,dev_002570,SG,227840
txn_0000512,card_00687,2026-01-15T10:15:33Z,restaurant,False,False,dev_002752,GB,1169
txn_0000513,card_00067,2026-01-03T15:29:31Z,utilities,True,False,dev_002103,SG,17769
txn_0000514,card_00506,2026-01-19T17:40:59Z,pharmacy,True,False,dev_004683,AE,36183
txn_0000515,card_00514,2026-01-24T01:05:57Z,grocery,True,False,dev_001584,AE,7969
txn_0000516,card_00605,2026-01-14T16:03:36Z,travel,True,False,dev_003118,SG,2588
txn_0000517,card_00523,2026-01-14T02:41:46Z,utilities,False,False,dev_004517,AE,537
txn_0000518,card_00720,2026-01-15T20:27:00Z,entertainment,True,False,dev_003803,US,4590
txn_0000519,card_00650,2026-01-07T22:14:08Z,electronics,True,False,dev_002039,AE,13686
txn_0000520,card_00026,2026-01-27T19:45:21Z,grocery,True,False,dev_003145,SG,2677
txn_0000521,card_00526,2026-01-25T14:24:22Z,pharmacy,False,True,dev_003918,SG,11823
txn_0000522,card_00413,2026-01-28T15:00:13Z,entertainment,True,False,dev_002074,DE,2012
txn_0000523,card_00832,2026-01-29T03:17:24Z,pharmacy,True,False,dev_000015,GB,4158
txn_0000524,card_00384,2026-01-14T09:19:15Z,utilities,False,False,dev_002768,AE,1730
txn_0000525,card_00129,2026-01-26T00:01:56Z,travel,False,False,dev_001873,SG,1785
txn_0000526,card_00210,2026-01-19T12:51:00Z,grocery,False,False,dev_004824,AE,5332
txn_0000527,card_00208,2026-01-30T20:04:25Z,electronics,True,False,dev_002212,IN,6464
txn_0000528,card_00780,2026-01-09T15:51:08Z,online_retail,True,False,dev_002666,US,4408
txn_0000529,card_00173,2026-01-21T13:52:52Z,travel,True,False,dev_003825,SG,4807
txn_0000530,card_00224,2026-01-14T05:30:51Z,utilities,False,False,dev_000584,IN,3249
txn_0000531,card_00650,2026-01-01T21:42:18Z,atm_withdrawal,False,False,dev_001148,US,4575
txn_0000532,card_00038,2026-01-05T20:21:14Z,grocery,False,False,dev_001905,AE,6244
txn_0000533,card_00176,2026-01-10T02:52:09Z,electronics,False,False,dev_001614,AE,17031
txn_0000534,card_00395,2026-01-14T12:35:08Z,entertainment,True,False,dev_001015,DE,6752
txn_0000535,card_00842,2026-01-03T20:59:08Z,electronics,False,False,dev_003575,DE,2734
txn_0000536,card_00144,2026-01-10T21:04:32Z,restaurant,False,False,dev_003340,DE,1541
txn_0000537,card_00318,2026-01-13T16:12:33Z,restaurant,False,False,dev_003119,IN,5038
txn_0000538,card_00758,2026-01-01T04:19:01Z,travel,False,False,dev_003434,SG,6650
txn_0000539,card_00220,2026-01-26T00:10:20Z,utilities,True,False,dev_003725,US,3459
txn_0000540,card_00839,2026-01-06T23:55:50Z,restaurant,True,False,dev_000534,DE,6279
txn_0000541,card_00782,2026-01-03T04:18:54Z,pharmacy,True,False,dev_001418,IN,11708
txn_0000542,card_00756,2026-01-19T07:29:45Z,online_retail,True,False,dev_001608,IN,2704
txn_0000543,card_00113,2026-01-19T11:22:27Z,pharmacy,True,False,dev_001342,DE,15063
txn_0000544,card_00285,2026-01-25T18:50:51Z,atm_withdrawal,False,False,dev_002295,DE,4883
txn_0000545,card_00375,2026-01-14T09:19:27Z,restaurant,False,True,dev_001942,SG,101596
txn_0000546,card_00007,2026-01-09T00:36:15Z,grocery,True,False,dev_002211,AE,1242
txn_0000547,card_00436,2026-01-27T04:20:59Z,online_retail,False,False,dev_000556,SG,10078
txn_0000548,card_00197,2026-01-12T05:45:39Z,restaurant,False,False,dev_002528,US,503
txn_0000549,card_00882,2026-01-29T19:45:42Z,grocery,True,False,dev_001500,IN,2627
txn_0000550,card_00693,2026-01-19T08:39:54Z,restaurant,True,False,dev_000771,SG,1615
txn_0000551,card_00365,2026-01-13T00:51:48Z,grocery,True,False,dev_003826,US,30068
txn_0000552,card_00153,2026-01-09T01:24:39Z,utilities,True,False,dev_004197,SG,1131
txn_0000553,card_00648,2026-01-20T03:47:50Z,fuel,True,False,dev_002115,SG,1718
